年月,BC,CI,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
2018年6月,1,103.4 ,103.7,105.1,103.9,104.5,103.4,1.7,4,178995,1.62,108.9
2018年7月,1,102.9 ,103.8,104.4,99.6,103.7,103.6,1.5,5.6,175531,1.63,107.8
2018年8月,1,103.0 ,103.6,104.2,103.8,105.1,104.1,2.7,4.8,172066,1.64,108
2018年9月,1,101.8 ,103.5,103.4,102.4,101.8,103.6,2.2,0.4,168602,1.64,104.1
2018年10月,1,104.0 ,105.6,107.4,105.3,104.8,107.8,3.6,7.2,164542,1.63,107.4
2018年11月,1,102.3 ,104.6,104.4,104.2,106.6,105,1.4,3.4,160481,1.63,104.8
2018年12月,1,101.3 ,104.7,104.8,104.9,102.6,104.5,1.3,-1,156421,1.62,104.5
2019年1月,1,100.8 ,102.3,102.7,104.4,102.3,98.8,0.6,-1.3,167438,1.64,100.1
2019年2月,1,101.8 ,103.3,102.4,106.2,103,102.2,0.6,-1.4,178456,1.62,104.8
2019年3月,1,101.4 ,102.8,102.5,104.7,102.1,100.9,1,-2.8,189473,1.63,105
2019年4月,1,101.5 ,102.7,102.1,107.3,103.1,101.4,0.4,-0.5,180557,1.62,105.7
2019年5月,1,101.5 ,104.2,102.9,111.6,102.8,103.1,1.3,-3.9,171641,1.61,98.3
2019年6月,1,99.3 ,101.5,101.1,103.8,102.7,100.5,0.5,-4.2,162725,1.61,105.4
2019年7月,1,99.2 ,102.2,102.8,104.8,104.5,101.2,-2,-1.3,161199,1.6,107.2
2019年8月,1,98.3 ,100.5,99.9,103.8,103.4,100.6,1.8,-4.7,159672,1.6,102.1
2019年9月,1,99.8 ,102.4,99.8,103,102,106.2,9.2,2.7,158146,1.59,103.4
2019年10月,1,96.1 ,98.3,98.3,97.6,102.7,98,-7,-9.5,153150,1.58,101.4
2019年11月,1,95.2 ,97.7,97.4,98.7,103.1,92.9,-2.1,-8.4,148154,1.57,99.5
2019年12月,1,94.3 ,97.9,96.5,93,102.9,98.8,-2.6,-6.6,143158,1.55,103.5
